,Campaign_ID,Campaign_Name,Start_Date,End_Date,Channel,Impressions,Clicks,Spend,Conversions,Active,Campaign_Tag,Duration,click_through_rate,conversion_rate,cost_per_click,cost_acquisition
0,CMP-00001,Q4_Summer_CMP-00001,2023-11-24,2023-12-13,TikTok,16795,197,102.82,20.0,1,TI,19 days,0.011729681452813338,0.10152284263959391,0.5219289340101523,5.141
1,CMP-00002,Q1_Launch_CMP-00002,2023-05-06,2023-05-12,Facebook,1860,30,24.33,1.0,0,FA,6 days,0.016129032258064516,0.03333333333333333,0.8109999999999999,24.33
2,CMP-00003,Q3_Winter_CMP-00003,2023-12-13,2023-12-20,Email,77820,843,1323.39,51.0,0,EM,7 days,0.010832690824980725,0.060498220640569395,1.5698576512455518,25.948823529411765
3,CMP-00004,Q1_BlackFriday_CMP-00004,2023-10-30,2023-11-03,TikTok,55886,2019,2180.38,135.0,1,TI,4 days,0.03612711591454031,0.06686478454680535,1.0799306587419515,16.150962962962964
4,CMP-00005,Q2_Winter_CMP-00005,2023-04-22,2023-04-23,Facebook,7265,169,252.44,30.0,1,FA,1 days,0.02326221610461115,0.17751479289940827,1.4937278106508876,8.414666666666667
6,CMP-00007,Q3_Launch_CMP-00007,2023-10-07,2023-10-23,Facebook,38194,1135,1232.76,178.0,1,FA,16 days,0.02971670943080065,0.1568281938325991,1.0861321585903083,6.9256179775280895
7,CMP-00008,Q4_Launch_CMP-00008,2023-05-23,2023-05-28,Instagram,88498,1173,865.7,127.0,1,IN,5 days,0.013254536825690976,0.1082693947144075,0.7380221653878943,6.816535433070866
8,CMP-00009,Q4_BlackFriday_CMP-00009,2023-03-23,2023-04-01,Google Ads,45131,1179,1046.18,104.0,1,GO,9 days,0.02612395027807937,0.08821034775233248,0.8873452078032231,10.059423076923078
10,CMP-00011,Q4_Launch_CMP-00011,2023-02-22,2023-03-01,Instagram,17023,455,523.13,76.0,1,IN,7 days,0.026728543734946836,0.16703296703296702,1.1497362637362638,6.8832894736842105
11,CMP-00012,Q4_Launch_CMP-00012,2023-02-19,2023-02-20,Google Ads,42090,763,1267.69,109.0,0,GO,1 days,0.018127821335234023,0.14285714285714285,1.6614547837483618,11.630183486238533
12,CMP-00013,Q2_Launch_CMP-00013,2023-05-16,2023-06-01,Google Ads,68221,2975,5292.16,567.0,0,GO,16 days,0.04360827311238475,0.19058823529411764,1.7788773109243696,9.333615520282187
13,CMP-00014,Q1_Launch_CMP-00014,2023-10-02,2023-10-15,TikTok,65820,1116,1464.72,169.0,1,TI,13 days,0.016955332725615314,0.15143369175627241,1.31247311827957,8.66698224852071
14,CMP-00015,Q2_Summer_CMP-00015,2023-02-10,2023-02-16,Google Ads,1769,85,139.18,11.0,1,GO,6 days,0.048049745618993785,0.12941176470588237,1.6374117647058823,12.652727272727274
15,CMP-00016,Q2_BlackFriday_CMP-00016,2023-11-13,2023-11-23,Email,60735,1617,1552.9,228.0,1,E-,10 days,0.026623857742652506,0.14100185528756956,0.9603586889301176,6.810964912280702
16,CMP-00017,Q1_Winter_CMP-00017,2023-04-09,2023-10-01,Email,63955,2804,3147.37,536.0,0,EM,175 days,0.04384332733953561,0.19115549215406563,1.1224572039942937,5.871958955223881
17,CMP-00018,Q1_BlackFriday_CMP-00018,2023-04-27,2023-05-25,Instagram,65925,2317,3635.76,389.0,1,IN,28 days,0.03514599924156238,0.16788951230038843,1.5691670263271473,9.34642673521851
18,CMP-00019,Q4_Winter_CMP-00019,2023-04-30,2023-05-18,Facebook,68969,2718,2933.59,145.0,0,FA,18 days,0.039409009845002826,0.05334805003679176,1.079319352465048,20.231655172413795
22,CMP-00023,Q4_Winter_CMP-00023,2023-11-08,2023-11-24,Google Ads,86305,2637,4726.22,216.0,0,GO,16 days,0.030554429059730027,0.08191126279863481,1.7922715206674251,21.88064814814815
23,CMP-00024,Q4_Winter_CMP-00024,2023-05-01,2023-05-06,Instagram,29693,995,1793.94,179.0,0,IN,5 days,0.0335095813828175,0.1798994974874372,1.8029547738693468,10.022011173184358
24,CMP-00025,Q2_Winter_CMP-00025,2023-11-24,2023-12-18,Email,72932,815,1293.01,157.0,0,EM,24 days,0.011174792957823726,0.19263803680981595,1.586515337423313,8.235732484076433
25,CMP-00026,Q1_Winter_CMP-00026,2023-06-16,2023-07-02,Google Ads,94016,2427,3928.42,207.0,0,GO,16 days,0.025814754935330156,0.08529048207663782,1.6186320560362588,18.977874396135267
26,CMP-00027,Q1_Winter_CMP-00027,2023-04-28,2023-05-12,TikTok,26658,912,1219.24,166.0,1,TI,14 days,0.034211118613549404,0.18201754385964913,1.3368859649122806,7.344819277108434
27,CMP-00028,Q4_Summer_CMP-00028,2023-07-25,2023-08-08,Email,85478,2898,3990.55,187.0,1,EM,14 days,0.03390346053955404,0.0645272601794341,1.3770013802622498,21.339839572192513
28,CMP-00029,Q4_BlackFriday_CMP-00029,2023-10-18,2023-11-15,Instagram,19431,810,567.39,47.0,1,IN,28 days,0.041685965724872626,0.05802469135802469,0.7004814814814815,12.072127659574468
29,CMP-00030,Q1_Summer_CMP-00030,2023-12-02,2023-12-08,Instagram,3747,135,157.38,9.0,0,IN,6 days,0.036028823058446756,0.06666666666666667,1.1657777777777778,17.486666666666665
30,CMP-00031,Q1_Launch_CMP-00031,2023-11-26,2023-12-12,Google Ads,60150,2988,3514.38,175.0,1,GO,16 days,0.04967581047381546,0.05856760374832664,1.1761646586345382,20.082171428571428
31,CMP-00032,Q2_Summer_CMP-00032,2023-05-07,2023-05-29,Instagram,66725,1424,2759.35,251.0,1,IN,22 days,0.02134132633945298,0.17626404494382023,1.937745786516854,10.993426294820717
32,CMP-00033,Q2_BlackFriday_CMP-00033,2023-10-27,2023-10-29,Instagram,85654,2087,2393.02,122.0,0,IN,2 days,0.02436547038083452,0.0584571154767609,1.1466315285098228,19.614918032786886
33,CMP-00034,Q2_Summer_CMP-00034,2023-07-05,2023-07-17,Facebook,36773,932,1233.98,84.0,0,FA,12 days,0.025344682239686726,0.09012875536480687,1.3240128755364806,14.690238095238096
34,CMP-00035,Q2_Summer_CMP-00035,2023-09-18,2023-09-22,Instagram,68435,1959,2546.46,128.0,1,IN,4 days,0.028625703222035507,0.06533945890760592,1.2998774885145483,19.89421875
35,CMP-00036,Q1_Launch_CMP-00036,2023-02-26,2023-03-01,TikTok,57886,2514,3658.23,237.0,1,TI,3 days,0.04343019037418374,0.09427207637231504,1.4551431980906921,15.435569620253165
36,CMP-00037,Q2_Winter_CMP-00037,2023-12-15,2023-12-26,Instagram,67803,1317,2136.63,83.0,1,IN,11 days,0.019423919295606388,0.0630220197418375,1.6223462414578589,25.74253012048193
37,CMP-00038,Q4_Winter_CMP-00038,2023-07-15,2023-08-07,TikTok,32551,1335,1118.15,200.0,1,TI,23 days,0.04101256489815981,0.149812734082397,0.8375655430711612,5.590750000000001
38,CMP-00039,Q3_Launch_CMP-00039,2023-05-09,2023-05-25,Email,12394,324,418.96,22.0,1,EM,16 days,0.026141681458770372,0.06790123456790123,1.2930864197530862,19.043636363636363
39,CMP-00040,Q4_BlackFriday_CMP-00040,2023-01-06,2023-01-26,Email,70092,2388,4152.44,424.0,0,EM,20 days,0.03406950864577983,0.17755443886097153,1.7388777219430485,9.793490566037734
40,CMP-00041,Q4_Summer_CMP-00041,2023-10-02,2023-10-12,Email,4890,172,205.48,29.0,1,EM,10 days,0.03517382413087935,0.1686046511627907,1.1946511627906977,7.08551724137931
41,CMP-00042,Q3_Summer_CMP-00042,2023-06-24,2023-06-29,TikTok,42606,1061,973.67,55.0,1,TI,5 days,0.024902595878514764,0.051837888784165884,0.9176908576814325,17.703090909090907
42,CMP-00043,Q2_Summer_CMP-00043,2023-08-21,2023-08-29,Instagram,97276,2967,4397.28,546.0,1,IN,8 days,0.030500842962292857,0.18402426693629928,1.4820626895854399,8.053626373626374
43,CMP-00044,Q1_Winter_CMP-00044,2023-05-15,2023-06-01,Email,81038,2149,3729.91,116.0,1,E-,17 days,0.026518423455662774,0.05397859469520707,1.735649139134481,32.15439655172413
44,CMP-00045,Q2_Summer_CMP-00045,2023-09-17,2023-10-03,TikTok,88313,1127,670.24,96.0,0,TI,16 days,0.012761428102317892,0.08518189884649512,0.5947116237799468,6.9816666666666665
45,CMP-00046,Q4_Launch_CMP-00046,2023-06-02,2023-06-28,Instagram,11627,319,531.19,17.0,1,IN,26 days,0.027436140018921477,0.05329153605015674,1.6651724137931037,31.246470588235297
46,CMP-00047,Q4_BlackFriday_CMP-00047,2023-04-12,2023-04-19,Google Ads,9792,136,235.62,13.0,1,GO,7 days,0.013888888888888888,0.09558823529411764,1.7325,18.124615384615385
47,CMP-00048,Q3_Winter_CMP-00048,2023-10-04,2023-10-18,Email,74969,1964,2341.65,249.0,1,EM,14 days,0.02619749496458536,0.12678207739307534,1.192286150712831,9.40421686746988
49,CMP-00050,Q3_Summer_CMP-00050,2023-02-27,2023-02-28,Email,77552,2572,4321.12,258.0,1,INVALID,1 days,0.03316484423354652,0.10031104199066875,1.6800622083981338,16.748527131782946
50,CMP-00051,Q4_Winter_CMP-00051,2023-06-07,2023-06-17,Google Ads,24897,908,1507.73,141.0,1,GO,10 days,0.03647025746073824,0.15528634361233482,1.6604955947136564,10.693120567375887
51,CMP-00052,Q2_Launch_CMP-00052,2023-10-18,2023-11-08,TikTok,69148,954,1547.16,74.0,0,TI,21 days,0.013796494475617515,0.07756813417190776,1.6217610062893082,20.90756756756757
53,CMP-00054,Q4_Winter_CMP-00054,2023-09-30,2023-10-11,Unknown,49555,1114,919.99,95.0,0,XX,11 days,0.022480072646554335,0.08527827648114901,0.8258438061041292,9.684105263157894
54,CMP-00055,Q1_Launch_CMP-00055,2023-08-27,2023-09-01,Google Ads,18159,471,563.31,33.0,0,GO,5 days,0.025937551627292253,0.07006369426751592,1.1959872611464968,17.069999999999997
55,CMP-00056,Q4_BlackFriday_CMP-00056,2023-09-28,2023-10-08,Facebook,81077,3593,3219.35,279.0,0,FA,10 days,0.044315897233494085,0.077650988032285,0.8960061230169775,11.538888888888888
56,CMP-00057,Q4_Launch_CMP-00057,2023-04-19,2023-05-11,Email,36920,382,428.93,29.0,1,EM,22 days,0.010346695557963163,0.07591623036649214,1.1228534031413613,14.790689655172415
57,CMP-00058,Q2_Summer_CMP-00058,2023-12-20,2024-01-09,TikTok,93067,3121,5719.84,396.0,1,TI,20 days,0.03353498017557244,0.1268824094841397,1.8326946491509133,14.444040404040404
58,CMP-00059,Q3_Launch_CMP-00059,2023-12-10,2023-12-24,Facebook,68121,2312,4014.77,408.0,1,FA,14 days,0.033939607463190496,0.17647058823529413,1.736492214532872,9.840122549019608
59,CMP-00060,Q2_BlackFriday_CMP-00060,2023-09-22,2023-10-12,Email,70479,1823,2634.34,112.0,1,EM,20 days,0.025865860752848364,0.061437191442676904,1.4450575973669777,23.520892857142858
60,CMP-00061,Q1_Summer_CMP-00061,2023-02-02,2023-02-06,Google Ads,90475,1762,3149.01,274.0,1,GO,4 days,0.019474993092014368,0.15550510783200908,1.787179341657208,11.492737226277374
61,CMP-00062,Q1_BlackFriday_CMP-00062,2023-04-28,2023-05-18,Google Ads,20457,396,663.56,58.0,1,GO,20 days,0.01935767707875055,0.14646464646464646,1.6756565656565656,11.440689655172413
62,CMP-00063,Q3_Summer_CMP-00063,2023-12-29,2024-01-03,Facebook,67557,3063,3502.47,554.0,0,FA,5 days,0.045339491096407475,0.18086842964413974,1.1434769833496572,6.322148014440433
63,CMP-00064,Q2_BlackFriday_CMP-00064,2023-01-17,2023-02-03,Email,78189,2164,1734.66,187.0,1,EM,17 days,0.027676527388763125,0.08641404805914972,0.8015988909426988,9.27625668449198
64,CMP-00065,Q2_Summer_CMP-00065,2023-05-02,2023-05-12,Email,79953,1857,2360.81,218.0,0,EM,10 days,0.023226145360399235,0.11739364566505116,1.2713031771674743,10.82940366972477
65,CMP-00066,Q1_Winter_CMP-00066,2023-10-04,2023-10-15,TikTok,53995,1509,2420.95,285.0,1,TI,11 days,0.02794703213260487,0.18886679920477137,1.604340622929092,8.49456140350877
67,CMP-00068,Q2_Winter_CMP-00068,2023-08-31,2023-09-12,Facebook,10692,169,253.53,18.0,1,FA,12 days,0.015806210250654696,0.10650887573964497,1.5001775147928995,14.085
68,CMP-00069,Q1_Winter_CMP-00069,2023-02-19,2023-03-17,Email,46758,1308,839.07,91.0,1,EM,26 days,0.027973822661362762,0.06957186544342507,0.6414908256880735,9.22054945054945
69,CMP-00070,Q3_Summer_CMP-00070,2023-07-30,2023-08-22,Email,73409,2460,3990.14,219.0,1,EM,23 days,0.03351087741285128,0.08902439024390243,1.6220081300813007,18.219817351598174
70,CMP-00071,Q1_Launch_CMP-00071,2023-12-11,2024-01-08,TikTok,72211,3462,5951.42,474.0,1,TI,28 days,0.04794283419423633,0.1369150779896014,1.7190699017908724,12.555738396624474
73,CMP-00074,Q3_Summer_CMP-00074,2023-08-18,2023-09-06,Email,93093,2343,4076.77,327.0,0,E-,19 days,0.025168380007089684,0.13956466069142126,1.7399786598378149,12.467186544342507
74,CMP-00075,Q3_BlackFriday_CMP-00075,2023-08-25,2023-09-10,TikTok,33606,1150,2132.84,152.0,1,TI,16 days,0.034220079747664105,0.13217391304347825,1.8546434782608696,14.03184210526316
75,CMP-00076,Q4_Winter_CMP-00076,2023-08-15,2023-08-18,Email,12534,304,577.71,38.0,1,EM,3 days,0.024254029041008457,0.125,1.9003618421052633,15.202894736842106
76,CMP-00077,Q3_Launch_CMP-00077,2023-02-20,2023-02-21,Google Ads,95663,2998,5102.66,460.0,0,GO,1 days,0.03133918024732655,0.1534356237491661,1.7020213475650434,11.092739130434783
77,CMP-00078,Q3_Winter_CMP-00078,2023-10-04,2023-10-19,Email,41397,1708,2581.45,299.0,0,EM,15 days,0.041259028432011985,0.17505854800936768,1.511387587822014,8.633612040133778
78,CMP-00079,Q1_BlackFriday_CMP-00079,2023-05-02,2023-05-14,Google Ads,92387,3530,1795.28,347.0,1,GO,12 days,0.03820883890590668,0.09830028328611898,0.5085779036827195,5.17371757925072
79,CMP-00080,Q4_Summer_CMP-00080,2023-04-20,2023-05-04,Facebook,2016,56,67.13,10.0,1,FA,14 days,0.027777777777777776,0.17857142857142858,1.19875,6.712999999999999
